Rangking,Judul,Harga,Pemain saat ini,Total pemain
1,Counter-Strike: Global Offensive,0,930741,1718018
2,Dota 2,0,269790,606641
3,Apex Legends™,0,184496,514957
4,Team Fortress 2,0,67588,93972
5,Destiny 2,0,65349,76612
6,Grand Theft Auto V,194205,56914,121774
7,Call of Duty®: Modern Warfare® II,1025000,56729,80750
8,Unturned,0,55348,60951
9,Rust,194299,54444,100425
10,Wallpaper Engine,37999,52359,95903
11,Warframe,0,44363,65917
12,Lost Ark,0,42529,61218
13,War Thunder,0,38740,78000
14,Tom Clancy's Rainbow Six® Siege,205000,32442,50953
15,MIR4,0,32399,33125
16,NARAKA: BLADEPOINT,220000,31372,100965
17,ARK: Survival Evolved,108999,28451,51973
18,Sid Meier’s Civilization® VI,600000,26816,41752
19,Path of Exile,0,24380,47114
20,NBA 2K23,105440,24275,36697
21,EA SPORTS™ FIFA 23,227700,24235,63143
22,Football Manager 2023,371999,24143,66534
23,Yu-Gi-Oh! Master Duel,0,23419,38597
24,Stardew Valley,115999,23390,31044
25,VRChat,0,23229,23950
26,Don't Starve Together,95999,22927,61964
27,Dead by Daylight,149000,22697,35435
28,Terraria,89999,22227,34131
29,Rocket League®,0,20215,38670
30,ELDEN RING,599000,20047,28813
31,Project Zomboid,165999,20029,25427
32,The Sims™ 4,0,19519,30728
33,Left 4 Dead 2,90999,19043,27393
34,Crusader Kings III,187999,18752,33503
35,DayZ,0,18558,44955
36,PUBG: BATTLEGROUNDS,0,18306,352780
37,FINAL FANTASY XIV Online,0,18210,23739
38,Stellaris,74999,17371,25426
39,Hearts of Iron IV,105299,17314,40743
40,Red Dead Redemption 2,640000,16405,28873
41,The Elder Scrolls V: Skyrim Special Edition,329999,15814,22912
42,Cookie Clicker,39999,15678,20512
43,Age of Empires II: Definitive Edition,265000,15349,26023
44,RimWorld,219999,14805,19864
45,tModLoader,0,14535,21981
46,Valheim,108999,14519,26274
47,Cities: Skylines,77999,14027,24049
48,7 Days to Die,119999,13948,22131
49,Total War: WARHAMMER III,648999,13886,26837
50,SMITE®,0,13205,16517
51,Garry's Mod,89999,12515,27969
52,Albion Online,0,12065,24063
53,Darkest Dungeon® II,299999,11698,18015
54,The Elder Scrolls® Online,266000,11522,19418
55,STAR WARS Jedi: Survivor™,759000,11521,14919
56,SCUM,165353,11507,24206
57,Hunt: Showdown,196934,11430,26613
58,MONSTER HUNTER RISE,553999,11400,28793
59,Monster Hunter: World,334999,11363,28611
60,Sid Meier's Civilization® V,199999,11153,17512
61,New World,299999,10846,18404
62,Age of Wonders 4,494999,10768,18715
63,Black Desert,48999,10610,16367
64,Mount & Blade II: Bannerlord,549999,10582,19610
65,Fallout 4,266000,10315,14876
66,Deep Rock Galactic,139999,9816,14767
67,Soundpad,39999,9803,17598
68,Far Cry® 6,154750,9738,16502
69,The Binding of Isaac: Rebirth,95999,9710,16306
70,Europa Universalis IV,105299,9630,21891
71,Euro Truck Simulator 2,42475,9529,38364
72,Summoners War: Chronicles,0,9509,14191
73,Omega Strikers,0,9119,10885
74,Call of Duty®: Black Ops III,800000,8737,11020
75,Phasmophobia,89999,8686,15967
76,Cyberpunk 2077,699999,8498,13193
77,Bloons TD 6,89999,8463,13318
78,PAYDAY 2,79999,8323,22066
79,雀魂麻將(MahjongSoul),0,8073,19993
80,Brawlhalla,0,7642,14737
81,Conan Exiles,249999,7586,13943
82,Farming Simulator 22,325285,7568,31846
83,Factorio,300000,7491,13155
84,Hogwarts Legacy,749000,7488,16630
85,Paladins®,0,7463,9571
86,Slay the Spire,119999,7450,10611
87,Farlight 84,0,7399,9762
88,Arma 3,399999,7374,15443
89,Crossout,0,7130,9625
90,Forza Horizon 5,699000,6810,16789
91,Sea of Thieves 2023 Edition,259999,6589,14603
92,STAR WARS™: The Old Republic™,0,6351,10558
93,Battlefield™ 2042,164750,6339,9259
94,Resident Evil 4,830999,6263,9442
95,Squad,209999,6234,11886
96,Titanfall® 2,37900,6205,8051
97,Oxygen Not Included,119999,6146,9924
98,Risk of Rain 2,119999,6091,6971
99,Satisfactory,139999,6063,12551
100,Hell Let Loose,200999,5995,10295
